technique,Action,Phase,Phase2,Phase3,platforms,groups.1,groups.2,groups.3,groups.4,groups.5,groups.6,groups.7,groups.8,groups.9,groups.10,groups.11,groups.12,groups.13,groups.14,groups.15,groups.16,groups.17,groups.18,groups.19,groups.20,groups.21,groups.22,groups.23,groups.24,groups.25,groups.26,groups.27,groups.28,groups.29,groups.30,groups.31,groups.32,groups.33,groups.34,groups.35,groups.36,groups.37,groups.38,groups.39,groups.40,groups.41,groups.42,groups.43,groups.44,groups.45,groups.46,groups.47,groups.48,groups.49,groups.50,groups.51,groups.52,groups.53,groups.54,groups.55,groups.56,groups.57,groups.58,groups.59,groups.60,groups.61,groups.62,groups.63,groups.64,groups.65,groups.66,groups.67,groups.68,groups.69,groups.70,groups.71,groups.72,groups.73,groups.74,groups.75,groups.76,groups.77,groups.78,groups.79,groups.80,groups.81,groups.82,groups.83,groups.84,groups.85,groups.86,data_sources,mitigations,Stealth,Noise2
T1055.011,Extra Window Memory Injection,privilege-escalation,stealth,,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1040,3,7
T1053.005,Scheduled Task,execution,persistence,privilege-escalation,Windows,G0016,G0019,G0021,G0022,G0032,G0034,G0035,G0037,G0038,G0040,G0045,G0046,G0047,G0049,G0050,G0051,G0059,G0060,G0061,G0064,G0067,G0069,G0075,G0080,G0082,G0087,G0091,G0093,G0094,G0095,G0096,G0099,G0102,G0108,G0114,G0117,G0126,G0129,G0142,G1001,G1002,G1003,G1006,G1014,G1016,G1018,G1022,G1034,G1035,G1036,G1039,G1043,G1044,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1026|M1028|M1047,8,2
T1205.002,Socket Filters,command-and-control,persistence,stealth,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1037,3,7
T1066,Indicator Removal from Tools,stealth,,,Linux|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1560.001,Archive via Utility,collection,,,Linux|Windows|macOS,G0004,G0006,G0007,G0010,G0022,G0030,G0045,G0052,G0054,G0059,G0060,G0061,G0064,G0069,G0084,G0087,G0093,G0094,G0096,G0102,G0114,G0117,G0125,G0129,G0143,G1006,G1016,G1017,G1022,G1023,G1024,G1030,G1032,G1039,G1040,G1041,G1048,G1054,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1047,5,5
T1021.005,VNC,lateral-movement,,,Linux|Windows|macOS,G0036,G0046,G0047,G0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1033|M1037|M1042|M1047,5,5
T1047,Windows Management Instrumentation,execution,,,Windows,G0009,G0016,G0019,G0027,G0030,G0032,G0034,G0037,G0038,G0045,G0046,G0047,G0049,G0050,G0059,G0061,G0065,G0069,G0093,G0096,G0099,G0102,G0108,G0112,G0114,G0119,G0129,G0143,G1003,G1006,G1016,G1017,G1018,G1021,G1022,G1032,G1043,G1044,G1047,G1051,G1054,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1026|M1038|M1040,5,5
T1687,Exploitation for Defense Impairment,defense-impairment,,,IaaS|Linux|SaaS|Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1156,Malicious Shell Modification,persistence,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1113,Screen Capture,collection,,,Linux|Windows|macOS,G0007,G0035,G0043,G0046,G0047,G0049,G0059,G0060,G0069,G0070,G0087,G0091,G0094,G0115,G1017,G1019,G1035,G1044,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1027.011,Fileless Storage,stealth,,,Linux|Windows,G0010,G0050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1047,2,8
T1067,Bootkit,persistence,,,Linux|Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9
T1037,Boot or Logon Initialization Scripts,persistence,privilege-escalation,,ESXi|Linux|Network Devices|Windows|macOS,G0016,G0096,G0106,G1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1024,5,5
T1557,Adversary-in-the-Middle,collection,credential-access,,Linux|Network Devices|Windows|macOS,G0094,G0129,G1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1017|M1030|M1031|M1035|M1037|M1041|M1042,5,5
T1033,System Owner/User Discovery,discovery,,,Linux|Network Devices|Windows|macOS,G0004,G0022,G0027,G0032,G0034,G0035,G0038,G0040,G0046,G0047,G0049,G0050,G0051,G0059,G0061,G0067,G0069,G0073,G0081,G0082,G0087,G0093,G0094,G0096,G0102,G0112,G0114,G0121,G0125,G0128,G0143,G1001,G1006,G1014,G1017,G1035,G1036,G1046,G1051,G1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1583,Acquire Infrastructure,resource-development,,,PRE,G0034,G0094,G0119,G1003,G1030,G1033,G1041,G1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1218.011,Rundll32,stealth,,,Windows,G0007,G0008,G0022,G0032,G0034,G0046,G0047,G0050,G0052,G0059,G0069,G0073,G0082,G0092,G0094,G0096,G0102,G0108,G0125,G0127,G0140,G0143,G1034,G1039,G1048,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1050,2,8
T1613,Container and Resource Discovery,discovery,,,Containers,G0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1018|M1030|M1035,5,5
T1583.007,Serverless,resource-development,,,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1143,Hidden Window,stealth,,,Windows|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8
T1161,LC_LOAD_DYLIB Addition,persistence,,,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1132.001,Standard Encoding,command-and-control,,,ESXi|Linux|Windows|macOS,G0032,G0034,G0040,G0060,G0064,G0069,G0073,G0081,G0125,G0127,G1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1031,5,5
T1027.009,Embedded Payloads,stealth,,,Linux|Windows|macOS,G0032,G1036,G1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1040|M1049,3,7
T1150,Plist Modification,persistence,privilege-escalation,stealth,macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1556.003,Pluggable Authentication Modules,credential-access,defense-impairment,persistence,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1026|M1032,5,5
T1578.004,Revert Cloud Instance,defense-impairment,,,IaaS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1148,HISTCONTROL,stealth,,,Linux|macOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
T1592,Gather Victim Host Information,reconnaissance,,,PRE,G1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1596.003,Digital Certificates,reconnaissance,,,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1056.001,Keylogging,collection,credential-access,,Linux|Network Devices|Windows|macOS,G0004,G0007,G0012,G0022,G0027,G0032,G0034,G0043,G0045,G0049,G0050,G0054,G0059,G0068,G0082,G0085,G0087,G0094,G0096,G0130,G0131,G1001,G1016,G1017,G1023,G1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
T1564.012,File/Path Exclusions,stealth,,,Linux|Windows|macOS,G0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1013|M1049,3,7
T1222.002,Linux and Mac Permissions,defense-impairment,,,Linux|macOS,G0050,G0106,G0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1022|M1026,5,5
T1110.001,Password Guessing,credential-access,,,Containers|ESXi|IaaS|Identity Provider|Linux|Network Devices|Office Suite|SaaS|Windows|macOS,G0007,G0016,G1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1027|M1032|M1036|M1051,10,0
T1216.001,PubPrn,stealth,,,Windows,G0050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1038|M1040,3,7
T1597.002,Purchase Technical Data,reconnaissance,,,PRE,G1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1056,5,5
T1003,OS Credential Dumping,credential-access,,,Linux|Windows|macOS,G0001,G0007,G0033,G0039,G0050,G0054,G0065,G0087,G0129,G0131,G1003,G1043,G1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1015|M1017|M1025|M1026|M1027|M1028|M1040|M1041|M1043,5,5
